job_name,company_name,city,salary_min,salary_max,experience,education,skill_tags,industry
AI大模型工程师,科大讯飞,上海,17,20,5‑10年,本科,"Python,Tensorflow,Pytorch",互联网
算法工程师,腾讯,南京,10,14,5‑10年,硕士,"Python,大模型,LangChain",软件服务
数据开发工程师,美团,成都,8,17,应届生,硕士,"Python,大模型,LangChain",软件服务
数据分析师,阿里,南京,20,24,应届生,硕士,"Python,Tensorflow,Pytorch",金融
机器学习工程师,阿里,上海,8,15,5‑10年,硕士,"Python,SQL,Pandas",金融
算法工程师,腾讯,深圳,11,18,3‑5年,硕士,"Java,MySQL,Kafka",智能制造
算法工程师,百度,大连,9,17,应届生,本科,"SQL,Hive,Spark",金融
AI大模型工程师,阿里,深圳,18,21,3‑5年,硕士,"Python,大模型,LangChain",软件服务
算法工程师,海康威视,上海,18,24,5‑10年,本科,"Python,SQL,Pandas",智能制造
AI大模型工程师,网易,成都,9,20,1‑3年,本科,"Python,数据可视化",互联网
BI工程师,美团,深圳,19,25,应届生,硕士,"Python,Tensorflow,Pytorch",金融
数据开发工程师,美团,杭州,13,22,1‑3年,大专,"Java,MySQL,Kafka",软件服务
机器学习工程师,百度,上海,9,20,1‑3年,大专,"Python,数据可视化",人工智能
机器学习工程师,字节跳动,成都,22,28,5‑10年,硕士,"Python,大模型,LangChain",智能制造
数据开发工程师,字节跳动,南京,21,30,3‑5年,大专,"Python,SQL,Pandas",互联网
算法工程师,字节跳动,武汉,18,23,1‑3年,硕士,"Java,MySQL,Kafka",软件服务
算法工程师,网易,南京,9,13,应届生,本科,"Python,数据可视化",人工智能
BI工程师,科大讯飞,上海,19,29,5‑10年,大专,"SQL,Hive,Spark",软件服务
数据开发工程师,美团,武汉,12,18,应届生,硕士,"Python,SQL,Pandas",互联网
数据分析师,网易,北京,22,34,应届生,大专,"Python,Tensorflow,Pytorch",智能制造
AI大模型工程师,百度,武汉,14,20,应届生,硕士,"Python,SQL,Pandas",人工智能
机器学习工程师,海康威视,上海,21,31,1‑3年,本科,"SQL,Hive,Spark",人工智能
AI大模型工程师,腾讯,杭州,17,23,3‑5年,硕士,"Python,SQL,Pandas",人工智能
算法工程师,美团,广州,12,23,1‑3年,本科,"Python,大模型,LangChain",互联网
BI工程师,美团,上海,17,20,3‑5年,大专,"Python,大模型,LangChain",金融
算法工程师,阿里,成都,16,24,3‑5年,硕士,"Python,大模型,LangChain",互联网
机器学习工程师,字节跳动,南京,18,25,5‑10年,大专,"Java,MySQL,Kafka",人工智能
机器学习工程师,海康威视,深圳,11,15,1‑3年,硕士,"Java,MySQL,Kafka",智能制造
BI工程师,美团,南京,11,22,1‑3年,硕士,"Python,SQL,Pandas",软件服务
算法工程师,网易,深圳,21,31,5‑10年,硕士,"SQL,Hive,Spark",智能制造
AI大模型工程师,百度,武汉,14,18,应届生,本科,"Python,Tensorflow,Pytorch",软件服务
数据开发工程师,字节跳动,大连,10,19,应届生,大专,"Python,SQL,Pandas",金融
机器学习工程师,美团,武汉,15,23,应届生,大专,"SQL,Hive,Spark",软件服务
BI工程师,阿里,武汉,20,29,1‑3年,硕士,"Python,Tensorflow,Pytorch",智能制造
机器学习工程师,阿里,北京,17,29,1‑3年,大专,"Python,Tensorflow,Pytorch",互联网
AI大模型工程师,海康威视,杭州,19,30,1‑3年,硕士,"Java,MySQL,Kafka",软件服务
机器学习工程师,字节跳动,武汉,17,28,5‑10年,本科,"SQL,Hive,Spark",互联网
机器学习工程师,网易,南京,15,25,5‑10年,本科,"Java,MySQL,Kafka",软件服务
算法工程师,百度,武汉,16,25,应届生,本科,"Python,数据可视化",人工智能
机器学习工程师,美团,大连,19,30,应届生,大专,"Python,大模型,LangChain",人工智能
数据分析师,阿里,杭州,12,21,应届生,硕士,"Python,大模型,LangChain",金融
BI工程师,网易,杭州,12,16,5‑10年,大专,"Python,大模型,LangChain",金融
机器学习工程师,字节跳动,成都,16,28,3‑5年,本科,"Python,数据可视化",互联网
机器学习工程师,美团,北京,17,23,应届生,硕士,"SQL,Hive,Spark",智能制造
数据开发工程师,科大讯飞,深圳,14,23,1‑3年,硕士,"Java,MySQL,Kafka",互联网
AI大模型工程师,科大讯飞,武汉,20,23,应届生,大专,"Python,SQL,Pandas",人工智能
BI工程师,海康威视,杭州,22,27,5‑10年,大专,"Python,SQL,Pandas",智能制造
数据开发工程师,腾讯,广州,18,27,应届生,本科,"Python,Tensorflow,Pytorch",软件服务
数据开发工程师,海康威视,广州,17,20,1‑3年,硕士,"Java,MySQL,Kafka",软件服务
数据分析师,海康威视,武汉,17,23,应届生,本科,"Python,数据可视化",互联网
机器学习工程师,字节跳动,杭州,13,16,5‑10年,大专,"Python,SQL,Pandas",人工智能
BI工程师,网易,杭州,11,17,3‑5年,硕士,"Python,数据可视化",软件服务
机器学习工程师,腾讯,武汉,11,14,5‑10年,本科,"Python,数据可视化",互联网
数据开发工程师,腾讯,杭州,11,23,1‑3年,本科,"Python,Tensorflow,Pytorch",金融
算法工程师,百度,深圳,19,29,1‑3年,大专,"Python,大模型,LangChain",智能制造
数据开发工程师,科大讯飞,成都,8,15,1‑3年,本科,"Python,数据可视化",金融
AI大模型工程师,阿里,深圳,9,17,应届生,大专,"SQL,Hive,Spark",人工智能
机器学习工程师,百度,深圳,9,16,3‑5年,本科,"SQL,Hive,Spark",金融
BI工程师,腾讯,大连,11,21,3‑5年,本科,"Python,Tensorflow,Pytorch",人工智能
数据分析师,美团,成都,16,22,1‑3年,大专,"Java,MySQL,Kafka",人工智能
数据分析师,海康威视,杭州,12,22,3‑5年,硕士,"Python,SQL,Pandas",智能制造
AI大模型工程师,百度,南京,15,20,应届生,本科,"Python,Tensorflow,Pytorch",金融
数据开发工程师,网易,北京,13,20,1‑3年,本科,"Python,Tensorflow,Pytorch",人工智能
AI大模型工程师,百度,大连,15,25,3‑5年,大专,"Java,MySQL,Kafka",人工智能
数据分析师,百度,大连,10,15,3‑5年,本科,"Python,数据可视化",金融
机器学习工程师,腾讯,广州,22,32,5‑10年,大专,"Python,Tensorflow,Pytorch",软件服务
BI工程师,美团,大连,21,32,5‑10年,硕士,"Python,数据可视化",金融
算法工程师,腾讯,上海,18,21,3‑5年,大专,"Python,SQL,Pandas",软件服务
AI大模型工程师,网易,深圳,10,15,3‑5年,本科,"SQL,Hive,Spark",软件服务
数据开发工程师,美团,成都,19,29,3‑5年,大专,"Python,数据可视化",互联网
BI工程师,阿里,大连,22,33,1‑3年,大专,"Java,MySQL,Kafka",软件服务
AI大模型工程师,科大讯飞,杭州,12,18,应届生,大专,"Java,MySQL,Kafka",智能制造
数据分析师,腾讯,南京,12,17,应届生,大专,"SQL,Hive,Spark",金融
AI大模型工程师,美团,杭州,15,19,3‑5年,硕士,"Python,大模型,LangChain",软件服务
数据分析师,腾讯,大连,8,18,5‑10年,硕士,"Python,大模型,LangChain",金融
机器学习工程师,海康威视,南京,10,21,1‑3年,大专,"Python,数据可视化",智能制造
机器学习工程师,百度,上海,9,18,5‑10年,大专,"Java,MySQL,Kafka",人工智能
数据开发工程师,科大讯飞,成都,13,16,1‑3年,本科,"Python,Tensorflow,Pytorch",软件服务
算法工程师,字节跳动,广州,16,20,3‑5年,硕士,"Python,SQL,Pandas",金融
数据开发工程师,海康威视,杭州,14,22,5‑10年,大专,"SQL,Hive,Spark",金融
机器学习工程师,网易,成都,22,28,应届生,本科,"Python,数据可视化",金融
数据分析师,腾讯,杭州,12,16,3‑5年,硕士,"Python,Tensorflow,Pytorch",智能制造
数据分析师,科大讯飞,南京,22,31,5‑10年,大专,"Python,数据可视化",智能制造
机器学习工程师,字节跳动,杭州,11,16,应届生,大专,"Python,数据可视化",金融
数据开发工程师,美团,上海,17,24,1‑3年,硕士,"Python,大模型,LangChain",人工智能
数据开发工程师,腾讯,成都,12,23,应届生,硕士,"SQL,Hive,Spark",软件服务
AI大模型工程师,百度,大连,11,18,应届生,大专,"Java,MySQL,Kafka",金融
机器学习工程师,百度,武汉,18,28,5‑10年,本科,"SQL,Hive,Spark",互联网
数据分析师,海康威视,广州,22,28,1‑3年,大专,"SQL,Hive,Spark",软件服务
机器学习工程师,网易,广州,19,29,3‑5年,大专,"SQL,Hive,Spark",金融
数据开发工程师,字节跳动,大连,18,27,1‑3年,大专,"Python,Tensorflow,Pytorch",互联网
算法工程师,字节跳动,武汉,14,26,1‑3年,硕士,"Java,MySQL,Kafka",软件服务
数据分析师,网易,深圳,16,20,1‑3年,硕士,"SQL,Hive,Spark",互联网
数据分析师,美团,深圳,16,23,应届生,大专,"Python,数据可视化",人工智能
数据分析师,海康威视,上海,11,17,应届生,硕士,"SQL,Hive,Spark",智能制造
数据分析师,科大讯飞,南京,8,16,应届生,硕士,"SQL,Hive,Spark",金融
BI工程师,美团,杭州,12,21,3‑5年,硕士,"Python,数据可视化",金融
机器学习工程师,科大讯飞,武汉,15,27,3‑5年,硕士,"Python,Tensorflow,Pytorch",软件服务
数据开发工程师,网易,深圳,9,18,1‑3年,大专,"Python,SQL,Pandas",人工智能
AI大模型工程师,百度,北京,9,18,应届生,硕士,"Python,数据可视化",软件服务
数据分析师,腾讯,成都,14,20,应届生,本科,"Python,SQL,Pandas",智能制造
BI工程师,字节跳动,成都,17,28,5‑10年,大专,"SQL,Hive,Spark",软件服务
数据开发工程师,腾讯,武汉,22,26,3‑5年,硕士,"Python,SQL,Pandas",智能制造
数据开发工程师,腾讯,上海,15,22,5‑10年,本科,"Python,Tensorflow,Pytorch",软件服务
机器学习工程师,网易,成都,10,15,1‑3年,大专,"SQL,Hive,Spark",智能制造
数据开发工程师,字节跳动,上海,17,28,1‑3年,本科,"Java,MySQL,Kafka",人工智能
数据开发工程师,百度,武汉,22,28,应届生,大专,"Python,大模型,LangChain",软件服务
BI工程师,阿里,杭州,15,19,应届生,硕士,"Python,Tensorflow,Pytorch",软件服务
BI工程师,美团,南京,8,14,1‑3年,硕士,"SQL,Hive,Spark",智能制造
机器学习工程师,科大讯飞,大连,14,24,3‑5年,大专,"Java,MySQL,Kafka",金融
数据分析师,阿里,广州,22,27,1‑3年,硕士,"Python,Tensorflow,Pytorch",互联网
数据开发工程师,美团,广州,18,25,1‑3年,硕士,"Java,MySQL,Kafka",金融
AI大模型工程师,科大讯飞,广州,15,22,3‑5年,硕士,"SQL,Hive,Spark",智能制造
数据分析师,美团,大连,22,34,3‑5年,大专,"Python,SQL,Pandas",金融
数据分析师,阿里,南京,9,13,应届生,硕士,"Python,大模型,LangChain",智能制造
AI大模型工程师,腾讯,大连,17,22,3‑5年,本科,"Python,数据可视化",金融
机器学习工程师,科大讯飞,杭州,8,15,3‑5年,硕士,"SQL,Hive,Spark",智能制造
AI大模型工程师,字节跳动,成都,13,22,应届生,硕士,"SQL,Hive,Spark",金融
数据分析师,科大讯飞,成都,17,21,5‑10年,大专,"Python,SQL,Pandas",智能制造
机器学习工程师,腾讯,北京,9,15,3‑5年,硕士,"Java,MySQL,Kafka",金融
数据分析师,字节跳动,广州,13,23,应届生,大专,"Python,数据可视化",软件服务
数据开发工程师,百度,武汉,21,26,1‑3年,硕士,"SQL,Hive,Spark",人工智能
AI大模型工程师,阿里,北京,18,21,5‑10年,大专,"Python,大模型,LangChain",智能制造
数据分析师,科大讯飞,上海,15,20,3‑5年,大专,"Python,数据可视化",智能制造
数据分析师,网易,大连,9,14,1‑3年,大专,"Python,数据可视化",金融
数据分析师,阿里,武汉,17,22,1‑3年,硕士,"Java,MySQL,Kafka",智能制造
数据开发工程师,美团,上海,12,23,3‑5年,硕士,"Python,数据可视化",人工智能
BI工程师,腾讯,武汉,14,26,应届生,本科,"SQL,Hive,Spark",软件服务
机器学习工程师,海康威视,成都,17,22,3‑5年,硕士,"Python,Tensorflow,Pytorch",人工智能
算法工程师,腾讯,上海,22,31,1‑3年,硕士,"Python,数据可视化",软件服务
数据开发工程师,海康威视,北京,21,32,5‑10年,本科,"Python,数据可视化",互联网
BI工程师,阿里,上海,18,30,5‑10年,硕士,"Python,Tensorflow,Pytorch",金融
算法工程师,科大讯飞,上海,19,31,应届生,硕士,"Python,数据可视化",互联网
数据分析师,美团,大连,14,19,应届生,硕士,"Python,Tensorflow,Pytorch",软件服务
数据开发工程师,科大讯飞,深圳,18,21,3‑5年,硕士,"Python,SQL,Pandas",智能制造
算法工程师,腾讯,武汉,11,19,3‑5年,硕士,"Python,SQL,Pandas",人工智能
AI大模型工程师,美团,广州,13,22,1‑3年,本科,"Python,数据可视化",智能制造
BI工程师,美团,成都,10,16,1‑3年,大专,"SQL,Hive,Spark",人工智能
数据开发工程师,网易,大连,11,21,5‑10年,大专,"Python,SQL,Pandas",软件服务
机器学习工程师,阿里,武汉,9,18,5‑10年,本科,"Python,数据可视化",软件服务
数据分析师,腾讯,成都,18,30,应届生,大专,"Python,大模型,LangChain",金融
BI工程师,百度,大连,22,31,应届生,硕士,"Python,Tensorflow,Pytorch",互联网
机器学习工程师,阿里,北京,20,32,3‑5年,硕士,"Java,MySQL,Kafka",人工智能
BI工程师,科大讯飞,北京,14,20,应届生,硕士,"Python,SQL,Pandas",人工智能
数据开发工程师,阿里,成都,21,24,1‑3年,本科,"Python,SQL,Pandas",软件服务
BI工程师,美团,广州,21,31,应届生,硕士,"Java,MySQL,Kafka",互联网
算法工程师,腾讯,南京,20,31,1‑3年,硕士,"Python,Tensorflow,Pytorch",软件服务
算法工程师,腾讯,杭州,11,19,3‑5年,硕士,"Python,SQL,Pandas",软件服务
机器学习工程师,百度,深圳,19,23,3‑5年,大专,"Python,大模型,LangChain",人工智能
算法工程师,腾讯,广州,12,17,1‑3年,大专,"Python,Tensorflow,Pytorch",互联网
数据开发工程师,百度,上海,13,18,1‑3年,硕士,"Python,SQL,Pandas",人工智能
AI大模型工程师,网易,杭州,12,15,应届生,本科,"Java,MySQL,Kafka",金融
BI工程师,海康威视,成都,11,19,5‑10年,硕士,"Python,Tensorflow,Pytorch",人工智能
数据分析师,网易,南京,11,17,3‑5年,本科,"Python,Tensorflow,Pytorch",软件服务
数据分析师,网易,北京,18,26,5‑10年,硕士,"Python,Tensorflow,Pytorch",人工智能
BI工程师,海康威视,杭州,19,27,5‑10年,大专,"Python,Tensorflow,Pytorch",人工智能
算法工程师,网易,北京,20,24,3‑5年,大专,"Python,大模型,LangChain",人工智能
算法工程师,科大讯飞,广州,19,24,5‑10年,本科,"Java,MySQL,Kafka",智能制造
AI大模型工程师,网易,广州,19,25,应届生,大专,"Python,SQL,Pandas",智能制造
机器学习工程师,腾讯,大连,12,24,1‑3年,硕士,"Python,SQL,Pandas",智能制造
数据分析师,美团,深圳,10,14,应届生,大专,"Python,SQL,Pandas",人工智能
AI大模型工程师,百度,北京,20,28,1‑3年,硕士,"Python,数据可视化",互联网
数据开发工程师,字节跳动,深圳,18,24,1‑3年,大专,"Python,大模型,LangChain",智能制造
AI大模型工程师,网易,深圳,8,16,5‑10年,本科,"Python,Tensorflow,Pytorch",智能制造
BI工程师,腾讯,大连,10,13,5‑10年,硕士,"Python,Tensorflow,Pytorch",互联网
数据开发工程师,百度,武汉,16,21,1‑3年,大专,"Java,MySQL,Kafka",金融
数据分析师,美团,广州,13,16,1‑3年,大专,"SQL,Hive,Spark",金融
机器学习工程师,字节跳动,成都,10,22,1‑3年,硕士,"SQL,Hive,Spark",金融
数据分析师,科大讯飞,深圳,8,20,5‑10年,硕士,"Python,数据可视化",智能制造
BI工程师,海康威视,广州,21,26,1‑3年,本科,"SQL,Hive,Spark",人工智能
BI工程师,百度,武汉,15,25,应届生,硕士,"Python,大模型,LangChain",软件服务
数据分析师,网易,深圳,19,31,5‑10年,本科,"Python,大模型,LangChain",软件服务
BI工程师,网易,武汉,11,16,5‑10年,大专,"SQL,Hive,Spark",人工智能
AI大模型工程师,科大讯飞,南京,15,27,应届生,大专,"Python,SQL,Pandas",人工智能
算法工程师,美团,南京,10,14,1‑3年,硕士,"SQL,Hive,Spark",软件服务
数据开发工程师,美团,大连,11,16,1‑3年,大专,"Python,Tensorflow,Pytorch",智能制造
BI工程师,美团,广州,15,26,应届生,大专,"SQL,Hive,Spark",软件服务
数据开发工程师,海康威视,杭州,14,20,3‑5年,本科,"Python,SQL,Pandas",智能制造
算法工程师,海康威视,上海,19,28,应届生,本科,"SQL,Hive,Spark",软件服务
机器学习工程师,腾讯,深圳,19,30,5‑10年,大专,"Python,Tensorflow,Pytorch",人工智能
机器学习工程师,科大讯飞,北京,17,21,5‑10年,大专,"Python,大模型,LangChain",人工智能
机器学习工程师,美团,杭州,14,21,应届生,大专,"Python,数据可视化",互联网
算法工程师,百度,杭州,20,31,应届生,大专,"Java,MySQL,Kafka",金融
AI大模型工程师,科大讯飞,广州,15,19,1‑3年,本科,"Java,MySQL,Kafka",互联网
机器学习工程师,海康威视,武汉,22,26,3‑5年,大专,"Python,SQL,Pandas",人工智能
数据分析师,阿里,武汉,16,20,应届生,大专,"Python,数据可视化",智能制造
数据分析师,网易,杭州,18,26,3‑5年,硕士,"Java,MySQL,Kafka",互联网
数据开发工程师,腾讯,武汉,14,26,3‑5年,大专,"Python,Tensorflow,Pytorch",金融
数据分析师,字节跳动,杭州,16,20,应届生,硕士,"Python,大模型,LangChain",金融
BI工程师,阿里,成都,14,25,3‑5年,本科,"SQL,Hive,Spark",人工智能
机器学习工程师,美团,上海,14,19,3‑5年,本科,"Java,MySQL,Kafka",金融
BI工程师,海康威视,上海,18,22,应届生,本科,"Python,数据可视化",金融
数据分析师,字节跳动,深圳,22,32,1‑3年,本科,"Python,SQL,Pandas",软件服务
数据分析师,字节跳动,杭州,16,23,5‑10年,本科,"Python,SQL,Pandas",金融
AI大模型工程师,字节跳动,大连,10,16,5‑10年,大专,"Python,数据可视化",软件服务
数据分析师,美团,上海,11,19,应届生,大专,"Python,SQL,Pandas",智能制造
BI工程师,百度,南京,21,26,3‑5年,硕士,"Java,MySQL,Kafka",金融
AI大模型工程师,美团,杭州,11,22,应届生,硕士,"Python,数据可视化",软件服务
BI工程师,腾讯,上海,10,17,应届生,硕士,"Java,MySQL,Kafka",软件服务
AI大模型工程师,阿里,杭州,8,13,1‑3年,大专,"Python,大模型,LangChain",软件服务
算法工程师,百度,上海,12,18,3‑5年,本科,"Java,MySQL,Kafka",金融
AI大模型工程师,美团,南京,8,14,应届生,大专,"Python,数据可视化",软件服务
算法工程师,百度,北京,13,20,3‑5年,大专,"Java,MySQL,Kafka",互联网
AI大模型工程师,百度,深圳,12,17,3‑5年,硕士,"Python,SQL,Pandas",软件服务
数据开发工程师,网易,杭州,18,27,3‑5年,本科,"Python,Tensorflow,Pytorch",人工智能
算法工程师,美团,成都,13,18,1‑3年,本科,"Python,SQL,Pandas",智能制造
BI工程师,科大讯飞,深圳,18,26,5‑10年,本科,"SQL,Hive,Spark",金融
数据分析师,百度,广州,16,26,5‑10年,大专,"Python,Tensorflow,Pytorch",人工智能
